match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2018163,Omar El Said,,Away,Kahraba,Free kick,
2018163,Kahraba,,Away,Omar El Said,Pass,
2018163,Mahmoud Alaa,,Away,Youssef Obama,Penalty,1.0
2018164,Mahmoud Kaoud,,Home,Mohamed Bassiouny,Cross,
2018165,Emam Ashour,,Away,Mohamed Abdelfattah,Unknown,
2018166,Mohamed Samir,,Away,Taha Adel,Handball ,1.0
2018166,Shemeles Bekele,,Home,Essam Sobhy,Cross,
2018166,Shemeles Bekele,,Home,Riga,Pass,
2018167,Afsha,,Away,Eric Traoré,Penalty,1.0
2018167,James Owoboskini,,Home,Ahmed Shedid Kenawi,Cross,
2018168,Ahmed Sherwyda,,Home,Joël Lamah,Pass,
2018168,Salah Amin,,Home,Ayman El Ghobashy,Pass,
2018168,Salah Amin,,Home,Ibrahim Adel,Handball ,1.0
2018168,Halimo,,Home,Didier Koré,Pass,
2018169,Benson Shilongo,,Away,Mohamed Sadek,Cross,
2018170,Saleh Gomaa,,Home,Walid Azaro,Pass,
2018170,Ali Maâloul,,Home,Walid Azaro,Penalty,1.0
2018171,Ahmed Ali,,Home,Taher Mohamed,Unknown,
2018171,Ahmed Sherwyda,,Away,Ahmed Ayman,Cross,
2018171,Ahmed Gamal,,Away,,Unknown,
2018171,Islam Fouad,,Home,,Unknown,
2018172,Islam Gamal,,Away,,Unknown,
2018172,Ahmed Ayman Mansour,,Home,Afsha,Free kick,
2018172,Afsha,,Home,Abdallah El Said,Pass,
2018172,Mostafa Mohamed,1.0,Home,Afsha,Corner,
2018173,Gathouch Panom,,Away,Joseph Ngwem,Pass,
2018173,Ibrahim Kone,,Home,Moses Odo,Unknown,
2018173,Ahmed Hassan Mekky,,Away,Joseph Ngwem,Corner,
2018175,Moaz El Henawy,,Home,Emmanuel Karbogi,Handball ,1.0
2018175,Islam Gaber,,Away,,Unknown,
2018175,Moussa Diawara,,Home,James Owoboskini,Pass,
2018175,Wahab Ahadzi,1.0,Away,Hossam Paulo,Unknown,
2018176,Karim Bambo,,Home,Abdelrahman Magdi,Pass,
2018176,Wagih Abdelhakim,,Home,Tarek Taha,Cross,
2018177,Amr El Solia,,Away,Ali Maâloul,Pass,
2018177,Ali Maâloul,,Away,,Unknown,1.0
2018177,Mohamed Helal,,Home,Vasilios Bouzas,Penalty,1.0
2018178,Mahmoud Alaa,,Home,Tarek Hamed,Cross,
2018178,Mahmoud Alaa,,Home,Omar El Said,Penalty,1.0
